Time (s),VmRSS (KB),VmHWM (KB),VmSize (KB),VmSwap (KB),RssAnon (KB),RssFile (KB)
0,2064,2712,18076,0,776,3216
1,143184,148744,6513332,0,101048,74596
2,603780,607108,6889816,0,401036,219188
3,894424,898408,6889816,0,401036,514144
5,1188816,1190076,6889816,0,401036,805216
6,1497596,1501384,6889816,0,401036,1129068
7,1798428,1805464,6889816,0,401036,1426372
8,2088728,2093272,6889816,0,401036,1696564
9,2097148,2099380,6889816,0,401036,1695128
10,2097900,2099380,6889816,0,401036,1696836
11,2094808,2099380,6889816,0,401036,1696076
13,2079888,2099380,6889816,0,401088,1685532
14,2081584,2099380,6889816,4808,396280,1690796
15,2090052,2099380,6889816,4804,396284,1689444
16,2081876,2099380,6889816,4804,396284,1691376
17,2090872,2099380,6891368,4752,398276,1679968
18,2070684,2099380,6891368,4752,398276,1687892
19,2081568,2099380,6891368,4752,398276,1686336
20,2077580,2099380,6891368,4752,398276,1687148
22,2084764,2099380,6891368,4752,398276,1682456
23,2079468,2099380,6891368,4752,398276,1692612
24,2084096,2099380,6891368,4752,398276,1685076
25,2083204,2099380,6891368,4752,398276,1679796
26,2085028,2099380,6891368,4752,398276,1690060
27,2088000,2099380,6891368,4752,398276,1685320
28,2082848,2099380,6891368,4752,398276,1689092
30,2086196,2099380,6891368,4752,398276,1678824
31,2085100,2099380,6891368,4752,398276,1687788
32,2082792,2099380,6891368,4752,398276,1676648
33,2085424,2099380,6891368,4752,398276,1680944
34,2084772,2099380,6891368,4748,398280,1682736
35,2083912,2099380,6891368,4748,398280,1683148
36,2083464,2099380,6891368,4748,398280,1690156
38,2083032,2099380,6891368,4748,398280,1684180
39,2087716,2099380,6891368,4748,398280,1678984
40,2080356,2099380,6891368,4748,398280,1682736
41,2080712,2099380,6891368,4748,398280,1679800
42,2088364,2099380,6891368,4748,398280,1676196
43,2085932,2099380,6891368,4748,398280,1679692
44,2081200,2099380,6891368,4748,398280,1684660
46,2081392,2099380,6891368,4748,398280,1679004
47,2079428,2099380,6891368,4748,398280,1678596
48,2079260,2099380,6891368,4748,398280,1684712
49,2089088,2099380,6891368,4748,398280,1684460
50,2085428,2099380,6891368,4748,398280,1689488
51,2077428,2099380,6891368,4748,398280,1681160
52,2077900,2099380,6891368,4748,398280,1689080
53,2083920,2099380,6891368,4748,398280,1680816
55,2083032,2099380,6891368,4748,398280,1688792
56,2084704,2099380,6891368,4744,398284,1683720
57,2089272,2099380,6891368,4744,398284,1681856
58,2089572,2099380,6891368,4744,398284,1689584
59,2086720,2099380,6891368,4744,398284,1682496
60,2080288,2099380,6891368,4744,398284,1685432
61,2081844,2099380,6891368,4744,398284,1683860
63,2085540,2099380,6891368,4744,398284,1687096
64,2077504,2099380,6891368,4744,398284,1677220
65,2087936,2099380,6891368,4744,398284,1681364
66,2086784,2099380,6891368,4744,398284,1688904
67,2082996,2099380,6891368,4744,398284,1683640
68,2080168,2099380,6891368,4740,398288,1683428
69,2080360,2099380,6891368,4740,398288,1687092
71,2087552,2099380,6891368,4740,398288,1690564
72,2086412,2099380,6891368,4740,398288,1691536
73,2084268,2099380,6891368,4740,398288,1681864
74,2087952,2099380,6891368,4740,398288,1687680
75,2086476,2099380,6891368,4740,398288,1680852
76,2081384,2099380,6891368,4740,398288,1685756
77,2078432,2099380,6891368,4740,398288,1682228
78,2082604,2099380,6891368,4740,398288,1680916
80,2084988,2099380,6891368,4740,398288,1682128
81,2075636,2099380,6891368,4740,398288,1679652
82,2084240,2099380,6891368,4740,398288,1685392
83,2081232,2099380,6891368,4740,398288,1691324
84,2080672,2099380,6891368,4740,398288,1683956
85,2076908,2099380,6891368,4740,398288,1684928
86,2080476,2099380,6891368,4740,398288,1683592
88,2084896,2099380,6891368,4740,398288,1684088
89,2076712,2099380,6891368,4740,398288,1687704
90,2079584,2099380,6891368,4740,398288,1688120
91,2082684,2099380,6891368,4740,398288,1681676
92,2083460,2099380,6891368,4740,398288,1680228
93,2075320,2099380,6891368,4740,398288,1679276
94,2078840,2099380,6891368,4740,398288,1680676
95,2084524,2099380,6891368,4740,398288,1685404
97,2083940,2099380,6891368,4740,398288,1683760
98,2085836,2099380,6891368,4740,398288,1681096
99,2086284,2099380,6891368,4740,398288,1684620
100,2079048,2099380,6891368,4740,398288,1685120
101,2089484,2099380,6891368,4740,398288,1683612
102,2083008,2099380,6891368,4740,398288,1686408
103,2083484,2099380,6891368,4740,398288,1679784
105,2085396,2099380,6891368,4740,398288,1679324
106,2078944,2099380,6891368,4740,398288,1679292
107,2080168,2099380,6891368,4740,398288,1683416
108,2080864,2099380,6891368,4740,398288,1691532
109,2084348,2099380,6891368,4740,398288,1686968
110,2077872,2099380,6891368,4740,398288,1685948
111,2084592,2099380,6891368,4740,398288,1683296
113,2082620,2099380,6891368,4740,398288,1687972
114,2089912,2099380,6891368,4740,398288,1685096
115,2086040,2099380,6891368,4740,398288,1686084
116,2088880,2099380,6891368,4740,398288,1686556
117,2087872,2099380,6891368,4740,398288,1694912
118,2076236,2099380,6891368,4740,398288,1680572
119,2087456,2099380,6891368,4740,398288,1683484
120,2087764,2099380,6891368,4740,398288,1682492
122,2079660,2099380,6891368,4740,398288,1687236
123,2085168,2099380,6891368,4736,398292,1689520
124,2086288,2099380,6891368,4736,398292,1690576
125,2075992,2099380,6891368,4736,398292,1685796
126,2079424,2099380,6891368,4736,398292,1684348
127,2082784,2099380,6891368,4736,398292,1685880
128,2079796,2099380,6891368,4736,398292,1686948
130,2078160,2099380,6891368,4736,398292,1679740
131,2077284,2099380,6891368,4736,398292,1685612
132,2088760,2099380,6891368,4736,398292,1693168
133,2088184,2099380,6891368,4736,398292,1694304
134,2084580,2099380,6891368,4736,398292,1681052
135,2078972,2099380,6891368,4736,398292,1685176
136,2080768,2099380,6891368,4736,398292,1686204
138,2083924,2099380,6891368,4736,398292,1681724
139,2080076,2099380,6891368,4736,398292,1687396
140,2077392,2099380,6891368,4736,398292,1687860
141,2089404,2099380,6891368,4736,398292,1685596
142,2085624,2099380,6891368,4736,398292,1689992
143,2076076,2099380,6891368,4736,398292,1679936
144,2082312,2099380,6891368,4736,398292,1684744
146,2086580,2099380,6891368,4736,398292,1688572
147,2081004,2099380,6891368,4736,398292,1684340
148,2085792,2099380,6891368,4736,398292,1687196
149,2090372,2099380,6891368,4736,398292,1681860
150,2085784,2099380,6891368,4736,398292,1686876
151,2083280,2099380,6891368,4736,398292,1677600
152,2078112,2099380,6891368,4736,398292,1685040
153,2089828,2099380,6891368,4736,398292,1681100
155,2079708,2099380,6891368,4736,398292,1687100
156,2073784,2099380,6891368,4736,398292,1676232
157,2081592,2099380,6891368,4736,398292,1687232
158,2078260,2099380,6891368,4736,398292,1683396
159,2081564,2099380,6891368,4736,398292,1684748
160,2079936,2099380,6891368,4736,398292,1684000
161,2084712,2099380,6891368,4736,398292,1687696
162,2085848,2099380,6891368,4736,398292,1683388
164,2087068,2099380,6891368,4736,398292,1686736
165,2083284,2099380,6891368,4736,398292,1691208
166,2079048,2099380,6891368,4736,398292,1678604
167,2084520,2099380,6891368,4736,398292,1685740
168,2075168,2099380,6891368,4736,398292,1683292
169,2082824,2099380,6891368,4736,398292,1681536
170,2090240,2099380,6891368,4736,398292,1680420
172,2089240,2099380,6891368,4736,398292,1687452
173,2089696,2099380,6891368,4736,398292,1686288
174,2080252,2099380,6891368,4736,398292,1687900
175,2080380,2099380,6891368,4736,398292,1682596
176,2077124,2099380,6891368,4736,398292,1685808
177,2082320,2099380,6891368,4732,398296,1689060
178,2087160,2099380,6891368,4732,398296,1684132
179,2085380,2099380,6891368,4732,398296,1685168
181,2082816,2099380,6891368,4732,398296,1679900
182,2080216,2099380,6891368,4732,398296,1689336
183,2089720,2099380,6891368,4732,398296,1680096
184,2081172,2099380,6891368,4732,398296,1688012
185,2087508,2099380,6891368,4732,398296,1685840
186,2082992,2099380,6891368,4732,398296,1686500
187,2084008,2099380,6891368,4732,398296,1690492
188,2084620,2099380,6891368,4732,398296,1690272
190,2081508,2099380,6891368,4732,398296,1681368
191,2081296,2099380,6891368,4732,398296,1685592
192,2086240,2099380,6891368,4732,398296,1679164
193,2078184,2099380,6891368,4732,398296,1677196
194,2078824,2099380,6891368,4732,398296,1680320
195,2085564,2099380,6891368,4732,398296,1688700
196,2082160,2099380,6891368,4732,398296,1685440
198,2071700,2099380,6891368,4732,398296,1685372
199,2081888,2099380,6891368,4732,398296,1685660
200,2085344,2099380,6891368,4732,398296,1687796
201,2082684,2099380,6891368,4732,398296,1682748
202,2088216,2099380,6891368,4732,398296,1681396
203,2092128,2099380,6891368,4732,398296,1684812
204,2086136,2099380,6891368,4732,398296,1689896
206,2087164,2099380,6891368,4732,398296,1683744
207,2085360,2099380,6891368,4732,398296,1682788
208,2081068,2099380,6891368,4732,398296,1690312
209,2077120,2099380,6891368,4732,398296,1684796
210,2085684,2099380,6891368,4732,398296,1675752
211,2088864,2099380,6891368,4732,398296,1683940
212,2083804,2099380,6891368,4732,398296,1687412
214,2082600,2099380,6891368,4732,398296,1683336
215,2082572,2099380,6891368,4732,398296,1688924
216,2078984,2099380,6891368,4732,398296,1688300
217,2082456,2099380,6891368,4732,398296,1686812
218,2087284,2099380,6891368,4732,398296,1680800
219,2087472,2099380,6891368,4732,398296,1680152
220,2085472,2099380,6891368,4732,398296,1688796
221,2088648,2099380,6891368,4732,398296,1682176
223,2082776,2099380,6891368,4732,398296,1679596
224,2090436,2099380,6891368,4732,398296,1688228
225,2083352,2099380,6891368,4732,398296,1685580
226,2088512,2099380,6891368,4732,398296,1686488
227,2088644,2099380,6891368,4732,398296,1685236
228,2086580,2099380,6891368,4732,398296,1684468
229,2077476,2099380,6891368,4732,398296,1692008
231,2090240,2099380,6891368,4732,398296,1682820
232,2088588,2099380,6891368,4732,398296,1689796
233,2084380,2099380,6891368,4732,398296,1686596
234,2081428,2099380,6891368,4732,398296,1680216
235,2074316,2099380,6891368,4732,398296,1686228
236,2085904,2099380,6891368,4732,398296,1686672
237,2079112,2099380,6891368,4732,398296,1691568
239,2091168,2099380,6891368,4732,398296,1685176
240,2087228,2099380,6891368,4732,398296,1681804
241,2082096,2099380,6891368,4732,398296,1683772
242,2086092,2099380,6891368,4732,398296,1678752
243,2089072,2099380,6891368,4732,398296,1683412
244,2080548,2099380,6891368,4732,398296,1687392
245,2083940,2099380,6891368,4732,398296,1683968
246,2085416,2099380,6891368,4732,398296,1686168
248,2082104,2099380,6891368,4732,398296,1684200
249,2085424,2099380,6891368,4732,398296,1687256
250,2075960,2099380,6891368,4732,398296,1681804
251,2090188,2099380,6891368,4732,398296,1683852
252,2080520,2099380,6891368,4732,398296,1685788
253,2086132,2099380,6891368,4732,398296,1679036
254,2081716,2099380,6891368,4732,398296,1688956
256,2080040,2099380,6891368,4732,398296,1689180
257,2085576,2099380,6891368,4732,398296,1683496
258,2090884,2099380,6891368,4732,398296,1684740
259,2084688,2099380,6891368,4732,398296,1680480
260,2082992,2099380,6891368,4732,398296,1686060
261,2084252,2099380,6891368,4732,398296,1683592
262,2078464,2099380,6891368,4732,398296,1677708
264,2083560,2099380,6891368,4732,398296,1689200
265,2075152,2099380,6891368,4732,398296,1686072
266,2082432,2099380,6891368,4732,398296,1687052
267,2088640,2099380,6891368,4732,398296,1680792
268,2089908,2099380,6891368,4732,398296,1685944
269,2088992,2099380,6891368,4732,398296,1684780
270,2080164,2099380,6891368,4732,398296,1675376
271,2081912,2099380,6891368,4732,398296,1688920
273,2084100,2099380,6891368,4732,398296,1687444
274,2086420,2099380,6891368,4732,398296,1684188
275,2089064,2099380,6891368,4732,398296,1690956
276,2081912,2099380,6891368,4732,398296,1677732
277,2080628,2099380,6891368,4732,398296,1685368
278,2088576,2099380,6891368,4732,398296,1680576
279,2077052,2099380,6891368,4732,398296,1683092
280,2080740,2099380,6891368,4732,398296,1685484
282,2087900,2099380,6891368,4732,398296,1680960
283,2082628,2099380,6891368,4732,398296,1679724
284,2091452,2099380,6891368,4732,398296,1683976
285,2078980,2099380,6891368,4732,398296,1683536
286,2083220,2099380,6891368,4732,398296,1684272
287,2081104,2099380,6891368,4732,398296,1688156
288,2086708,2099380,6891368,4732,398296,1683084
289,2081820,2099380,6891368,4732,398296,1687980
291,2073924,2099380,6891368,4732,398296,1679204
292,2081792,2099380,6891368,4732,398296,1688180
293,2084160,2099380,6891368,4732,398296,1686216
294,2079920,2099380,6891368,4732,398296,1688908
295,2085912,2099380,6891368,4732,398296,1680124
296,2084404,2099380,6891368,4732,398296,1689484
297,2078848,2099380,6891368,4732,398296,1692212
299,2082444,2099380,6891368,4732,398296,1686276
300,2085096,2099380,6891368,4732,398296,1679332
301,2079228,2099380,6891368,4732,398296,1686896
302,2087160,2099380,6891368,4732,398296,1689928
303,2089728,2099380,6891368,4732,398296,1684460
304,2078424,2099380,6891368,4732,398296,1689824
305,2081952,2099380,6891368,4732,398296,1680408
307,2080832,2099380,6891368,4732,398296,1679808
308,2084576,2099380,6891368,4732,398296,1688148
309,2086532,2099380,6891368,4732,398296,1685188
310,2084564,2099380,6891368,4732,398296,1680820
311,2078728,2099380,6891368,4732,398296,1675916
312,2080176,2099380,6891368,4732,398296,1681360
313,2090936,2099380,6891368,4732,398296,1684140
315,2092512,2099380,6891368,4732,398296,1687640
316,2081288,2099380,6891368,4732,398296,1687028
317,2081168,2099380,6891368,4732,398296,1688792
318,2078988,2099380,6891368,4732,398296,1687564
319,2079680,2099380,6891368,4732,398296,1681464
320,2079336,2099380,6891368,4732,398296,1686408
321,2084696,2099380,6891368,4732,398296,1678660
323,2079448,2099380,6891368,4732,398296,1686548
324,2083936,2099380,6891368,4732,398296,1680548
325,2080012,2099380,6891368,4732,398296,1685560
326,2083372,2099380,6891368,4732,398296,1685388
327,2083840,2099380,6891368,4732,398296,1687744
328,2088392,2099380,6891368,4732,398296,1683152
329,2080696,2099380,6891368,4732,398296,1682748
331,2086588,2099380,6891368,4732,398296,1686140
332,2087776,2099380,6891368,4732,398296,1683296
333,2083332,2099380,6891368,4732,398296,1690700
334,2085500,2099380,6891368,4732,398296,1686632
335,2084088,2099380,6891368,4732,398296,1689476
336,2086100,2099380,6891368,4732,398296,1687000
337,2084320,2099380,6891368,4732,398296,1687356
338,2086344,2099380,6891368,4732,398296,1684436
340,2081416,2099380,6891368,4732,398296,1686200
341,2078776,2099380,6891368,4728,398300,1693920
342,2083476,2099380,6891368,4728,398300,1690452
343,2084188,2099380,6891368,4728,398300,1686168
344,2083256,2099380,6891368,4728,398300,1689684
345,2091488,2099380,6891368,4728,398300,1693732
346,2083908,2099380,6891368,4728,398300,1686820
348,2078364,2099380,6891368,4728,398300,1679640
349,2083836,2099380,6891368,4728,398300,1689840
350,2079312,2099380,6891368,4728,398300,1687256
351,2086228,2099380,6891368,4728,398300,1686596
352,2082020,2099380,6891368,4728,398300,1678896
353,2084468,2099380,6891368,4728,398300,1686548
354,2087472,2099380,6891368,4728,398300,1688576
356,2082876,2099380,6891368,4728,398300,1680848
357,2084148,2099380,6891368,4728,398300,1689560
358,2087236,2099380,6891368,4728,398300,1684380
359,2081648,2099380,6891368,4728,398300,1681236
360,2084756,2099380,6891368,4728,398300,1688144
361,2083620,2099380,6891368,4728,398300,1688916
362,2088972,2099380,6891368,4728,398300,1685456
364,2088292,2099380,6891368,4728,398300,1681216
365,2086340,2099380,6891368,4728,398300,1691592
366,2084496,2099380,6891368,4728,398300,1682760
367,2085340,2099380,6891368,4728,398300,1690424
368,2079640,2099380,6891368,4728,398300,1690444
369,2083168,2099380,6891368,4728,398300,1682412
370,2082136,2099380,6891368,4728,398300,1690040
372,2089244,2099380,6891368,4728,398300,1683608
373,2086580,2099380,6891368,4728,398300,1681236
374,2083412,2099380,6891368,4728,398300,1687360
375,2085820,2099380,6891368,4728,398300,1682680
376,2080472,2099380,6891368,4728,398300,1683820
377,2080812,2099380,6891368,4728,398300,1681796
378,2082780,2099380,6891368,4728,398300,1695048
379,2086240,2099380,6891368,4728,398300,1682840
381,2080280,2099380,6891368,4728,398300,1678360
382,2089320,2099380,6891368,4728,398300,1682760
383,2089916,2099380,6891368,4728,398300,1683980
384,2079404,2099380,6891368,4728,398300,1687748
385,2084168,2099380,6891368,4728,398300,1692944
386,2086136,2099380,6891368,4728,398300,1688324
387,2079816,2099380,6891368,4728,398300,1693944
389,2089800,2099380,6891368,4728,398300,1682988
390,2081064,2099380,6891368,4728,398300,1691388
391,2086464,2099380,6891368,4728,398300,1682680
392,2083580,2099380,6891368,4728,398300,1687260
393,2085272,2099380,6891368,4728,398300,1691076
394,2091592,2099380,6891368,4728,398300,1686260
395,2087508,2099380,6891368,4728,398300,1685224
396,2082344,2099380,6891368,4728,398300,1677732
398,2084724,2099380,6891368,4728,398300,1691348
399,2082624,2099380,6891368,4728,398300,1686064
400,2078712,2099380,6891368,4728,398300,1683532
401,2074420,2099380,6891368,4728,398300,1678932
402,2085696,2099380,6891368,4728,398300,1675204
403,2080860,2099380,6891368,4728,398300,1684940
404,2078216,2099380,6891368,4728,398300,1681640
406,2085912,2099380,6891368,4728,398300,1683916
407,2089632,2099380,6891368,4728,398300,1688848
408,2085100,2099380,6891368,4728,398300,1688436
409,2083584,2099380,6891368,4728,398300,1683524
410,2086304,2099380,6891368,4728,398300,1690092
411,2079952,2099380,6891368,4728,398300,1691212
412,2089280,2099380,6891368,4728,398300,1683028
413,2084428,2099380,6891368,4728,398300,1691240
415,2086584,2099380,6891368,4728,398300,1686056
416,2080528,2099380,6891368,4728,398300,1692892
417,2081052,2099380,6891368,4728,398300,1693296
418,2087364,2099380,6891368,4728,398300,1690744
419,2081036,2099380,6891368,4728,398300,1680944
420,2082384,2099380,6891368,4728,398300,1684260
421,2078864,2099380,6891368,4728,398300,1683180
423,2085400,2099380,6891368,4728,398300,1684448
424,2084136,2099380,6891368,4728,398300,1688012
425,2075648,2099380,6891368,4728,398300,1684368
426,2085468,2099380,6891368,4728,398300,1684684
427,2081468,2099380,6891368,4728,398300,1691048
428,2082556,2099380,6891368,4728,398300,1680756
429,2083012,2099380,6891368,4728,398300,1684400
431,2084512,2099380,6891368,4728,398300,1684972
432,2078164,2099380,6891368,4728,398300,1686956
433,2078248,2099380,6891368,4728,398300,1679124
434,2087568,2099380,6891368,4728,398300,1679112
435,2078892,2099380,6891368,4728,398300,1686732
436,2077564,2099380,6891368,4728,398300,1686016
437,2080408,2099380,6891368,4728,398300,1685608
438,2079116,2099380,6891368,4728,398300,1681360
440,2083968,2099380,6891368,4728,398300,1684780
441,2086080,2099380,6891368,4728,398300,1678060
442,2088048,2099380,6891368,4728,398300,1682512
443,2085340,2099380,6891368,4728,398300,1690888
444,2083128,2099380,6891368,4728,398300,1688016
445,2085416,2099380,6891368,4728,398300,1679904
446,2081600,2099380,6891368,4728,398300,1686052
448,2083256,2099380,6891368,4728,398300,1688448
449,2081392,2099380,6891368,4728,398300,1682312
450,2085504,2099380,6891368,4728,398300,1678468
451,2092200,2099380,6891368,4728,398300,1683732
452,2087788,2099380,6891368,4728,398300,1691692
453,2087580,2099380,6891368,4728,398300,1687168
454,2089040,2099380,6891368,4728,398300,1678576
455,2076372,2099380,6891368,4728,398300,1691492
457,2083276,2099380,6891368,4728,398300,1687052
458,2083304,2099380,6891368,4728,398300,1685696
459,2079128,2099380,6891368,4728,398300,1686340
460,2088628,2099380,6891368,4728,398300,1678536
461,2081148,2099380,6891368,4728,398300,1689496
462,2081464,2099380,6891368,4728,398300,1682800
463,2085556,2099380,6891368,4728,398300,1686352
465,2086264,2099380,6891368,4728,398300,1685984
466,2084320,2099380,6891368,4728,398300,1692548
467,2086512,2099380,6891368,4728,398300,1686716
468,2086200,2099380,6891368,4728,398300,1692224
469,2091764,2099380,6891368,4728,398300,1680528
470,2083292,2099380,6891368,4728,398300,1687032
471,2080368,2099380,6891368,4728,398300,1684460
472,2086112,2099380,6891368,4728,398300,1687684
474,2081372,2099380,6891368,4728,398300,1682196
475,2080276,2099380,6891368,4728,398300,1681712
476,2084216,2099380,6891368,4728,398300,1685460
477,2082980,2099380,6891368,4728,398300,1684216
478,2087876,2099380,6891368,4728,398300,1687900
479,2090568,2099380,6891368,4728,398300,1682044
480,2082560,2099380,6891368,4728,398300,1687784
481,2083984,2099380,6891368,4728,398300,1687696
483,2079892,2099380,6891368,4728,398300,1685824
484,2079972,2099380,6891368,4728,398300,1680716
485,2084868,2099380,6891368,4728,398300,1687744
486,2089120,2099380,6891368,4728,398300,1681236
487,2079880,2099380,6891368,4728,398300,1680972
488,2087396,2099380,6891368,4728,398300,1688564
489,2089152,2099380,6891368,4728,398300,1687880
491,2086168,2099380,6891368,4728,398300,1681444
492,2079380,2099380,6891368,4728,398300,1687696
493,2083444,2099380,6891368,4728,398300,1682172
494,2082428,2099380,6891368,4728,398300,1685592
495,2081992,2099380,6891368,4728,398300,1684852
496,2083152,2099380,6891368,4728,398300,1689948
497,2083648,2099380,6891368,4728,398300,1687344
498,2076552,2099380,6891368,4728,398300,1690692
500,2089196,2099380,6891368,4728,398300,1691780
501,2083548,2099380,6891368,4728,398300,1682916
502,2084140,2099380,6891368,4728,398300,1687504
503,2085224,2099380,6891368,4728,398300,1686788
504,2078704,2099380,6891368,4728,398300,1690348
505,2082120,2099380,6891368,4728,398300,1681376
506,2086036,2099380,6891368,4728,398300,1682464
507,2087496,2099380,6891368,4728,398300,1683064
509,2081724,2099380,6891368,4728,398300,1686084
510,2086776,2099380,6891368,4728,398300,1688380
511,2084868,2099380,6891368,4728,398300,1685940
512,2083484,2099380,6891368,4728,398300,1691984
513,2083928,2099380,6891368,4728,398300,1689720
514,2084176,2099380,6891368,4728,398300,1688920
515,2085868,2099380,6891368,4728,398300,1681432
517,2083232,2099380,6891368,4728,398300,1696076
518,2085280,2099380,6891368,4728,398300,1680724
519,2084348,2099380,6891368,4728,398300,1685416
520,2087508,2099380,6891368,4728,398300,1692004
521,2072264,2099380,6891368,4728,398300,1691980
522,2087148,2099380,6891368,4728,398300,1687620
523,2085816,2099380,6891368,4728,398300,1688720
524,2082184,2099380,6891368,4728,398300,1690840
526,2090104,2099380,6891368,4728,398300,1683612
527,2080876,2099380,6891368,4728,398300,1689772
528,2079688,2099380,6891368,4728,398300,1686716
529,2077428,2099380,6891368,4728,398300,1682792
530,2090452,2099380,6891368,4728,398300,1682940
531,2082008,2099380,6891368,4728,398300,1684020
532,2080960,2099380,6891368,4728,398300,1684972
534,2082600,2099380,6891368,4728,398300,1688212
535,2080948,2099380,6891368,4728,398300,1689440
536,2077180,2099380,6891368,4728,398300,1693324
537,2084636,2099380,6891368,4728,398300,1684764
